comment,label,cleaned_comment
با توجه به قیمت و انتظاراتی که از یک هتل ۵ ستاره داریم اصلا و ابدا خوب نبود .,0,با توجه به قیمت و انتظاراتی که از یک هتل ۵ ستاره داریم اصلا و ابدا خوب نبود.
نظافت اتاقها در حد هتل سه ستاره‌های دبی بود .,0,نظافت اتاقها در حد هتل سه ستاره‌های دبی بود.
غذا خیلی گران بود .,0,غذا خیلی گران بود.
سرویس اتاق آنقدر با تاخیر می‌آمد که مجبور بودیم سفارش را لغو کنیم .,0,سرویس اتاق آنقدر با تاخیر می‌آمد که مجبور بودیم سفارش را لغو کنیم.
ظروف رستوران قدیمی کدر بود .,0,ظروف رستوران قدیمی کدر بود.
آکسسوار اتاقها قدیمی بود .,0,آکسسوار اتاقها قدیمی بود.
آکسسوار جدید از کیفیت پائینی برخوردار بود .,0,آکسسوار جدید از کیفیت پائینی برخوردار بود.
اگر انعام می‌دادیم رفتار پرسنل خوب بود .,0,اگر انعام می‌دادیم رفتار پرسنل خوب بود.
رفتارشان خیلی بدوی و روستایی مآبانه بود .,0,رفتارشان خیلی بدوی و روستایی مآبانه بود.
رستوران ایتالیایی دارای کارکنان نیمه حرفه‌ایی .,1,رستوران ایتالیایی دارای کارکنان نیمه حرفه‌ایی.
تا حدی قابل قبول بود .,1,تا حدی قابل‌قبول بود.
رفتار پرسنل حرفه‌ای بود .,1,رفتار پرسنل حرفه‌ای بود.
به طور کلی هتل رو دوست داشتم .,0,به طور کلی هتل رو دوست داشتم.
البته امسال به علت قیمت بالا هتل دیگری را انتخاب می‌کنم .,0,البته امسال به علت قیمت بالا هتل دیگری را انتخاب می‌کنم.
اتاق‌ها خوب گردگیری نشده بود .,0,اتاق‌ها خوب گردگیری نشده بود.
کف اتاق هم موکت‌ها خیلی تمیز نبود .,0,کف اتاق هم موکت‌ها خیلی تمیز نبود.
برنامه استخرها خوب نبود .,0,برنامه استخرها خوب نبود.
کیفیت اتاق معمولی هست .,1,کیفیت اتاق معمولی هست.
کارکنان خوش برخوردی دارد .,0,کارکنان خوش برخوردی دارد.
کیفیت غذا معمولی هست نه بیشتر .,0,کیفیت غذا معمولی هست نه بیشتر.
سرویس و آماده‌سازی غذا چه درون اتاق و چه در رستوران با کمی تاخیر انجام می‌شود .,0,سرویس و آماده‌سازی غذا چه درون اتاق و چه در رستوران با کمی تاخیر انجام می‌شود.
سرویس فرنگی هم خراب بود .,0,سرویس فرنگی هم خراب بود.
اصلا راضی نبودیم .,1,اصلا راضی نبودیم.
به نظر من بسیار هتل عالی است .,1,به نظر من بسیار هتل عالی است.
جز رستوران گردان آن همه چیز عالی است .,1,جز رستوران گردان آن همه چیز عالی است.
صبحانه عالی بود .,1,صبحانه عالی بود.
محیط اتاق خوب بود .,0,محیط اتاق خوب بود.
اتاق نور کافی نداشت .,0,اتاق نور کافی نداشت.
حمام خیلی کوچک بود .,0,حمام خیلی کوچک بود.
اتاق‌ها قدیمی .,0,اتاق‌ها قدیمی.
از نور کافی برخوردار نیست .,0,از نور کافی برخوردار نیست.
محیطی بسیار تمیز .,1,محیطی بسیار تمیز.
کارمندان مودب .,1,کارمندان مودب.
با غذا‌های خوشمزه .,1,با غذا‌های خوشمزه.
باکیفیت .,1,باکیفیت.
با قیمت مناسب .,1,با قیمت مناسب.
ظاهرخوبی دارد .,1,ظاهرخوبی دارد.
محل قرارگیری شلوغ .,0,محل قرارگیری شلوغ.
الودگی صوتی وبصری هوا زیاد هست .,0,الودگی صوتی وبصری هوا زیاد هست.
عالی .,1,عالی.
خیلی عالی است .,1,خیلی عالی است.
من از همه چیز آن خوشم آمد .,1,من از همه چیز آن خوشم آمد.
هتل عباسی بسیار شیک وزیبا بود .,1,هتل عباسی بسیار شیک وزیبا بود.
من از اتاق و برخورد کارکنان راضی بودم .,1,من از اتاق و برخورد کارکنان راضی بودم.
محیط لابی و حیاط جذاب هست .,1,محیط لابی و حیاط جذاب هست.
همه چیز عالی .,1,همه چیز عالی.
عالی .,1,عالی.
خوب بود .,1,خوب بود.
افتضاح .,0,افتضاح.
برخورد بد پرسنل .,0,برخورد بد پرسنل.
اتاق‌‌ها از ابتدائی‌‌ترین امکانات بی‌بهره است .,0,اتاق‌ها از ابتدائی‌ترین امکانات بی‌بهره است.
خیلی جالب نبود .,0,خیلی جالب نبود.
قیمت هتل با توجه به امکانات بالا است .,1,قیمت هتل با توجه به امکانات بالا است.
در اصفهان بهتر از این هتل گزینه دیگری نیست .,1,در اصفهان بهتر از این هتل گزینه دیگری نیست.
صبحانه هتل بسیار عالی و متمایز از هتل‌‌های دیگر اصفهان است .,1,صبحانه هتل بسیار عالی و متمایز از هتل‌های دیگر اصفهان است.
پارکینگ هتل فضایش بسیار کم است .,0,پارکینگ هتل فضایش بسیار کم است.
برای پارک خودرو جا ندارد .,0,برای پارک خودرو جا ندارد.
افتضاح بود .,0,افتضاح بود.
همه چه در این هتل بد بود .,0,همه چه در این هتل بد بود.
هتل خیلی زیبا ورویایی بود .,1,هتل خیلی زیبا ورویایی بود.
در رستوران سنتی بسیار غذا مانده و فاسد بود .,0,در رستوران سنتی بسیار غذا مانده و فاسد بود.
هتل بسیار زیبایی است .,1,هتل بسیار زیبایی است.
سرویس و نحوه برخورد کارکنان عالی بود .,1,سرویس و نحوه برخورد کارکنان عالی بود.
تنها موردی که خوشایند نبود درمورد رزرواسیون وتحویل اتاق بود .,0,تنها موردی که خوشایند نبود درمورد رزرواسیون وتحویل اتاق بود.
از همه نظر بد بود .,0,از همه نظر بد بود.
عالی بود .,1,عالی بود.
گران .,0,گران.
یک هتل رویائی .,1,یک هتل رویائی.
رویایی بود .,1,رویایی بود.
هتل از فضای خوبی برخوردار است .,1,هتل از فضای خوبی برخوردار است.
حس خوبی به آدم می‌دهد .,1,حس خوبی به آدم می‌دهد.
فضای باز و محیط رستوران آن بسیار عالی است .,1,فضای باز و محیط رستوران آن بسیار عالی است.
برخورد پرسنل بسیار خوب ومهمان نوازانه بود .,1,برخورد پرسنل بسیار خوب ومهمان نوازانه بود.
رستوران خوب ، محیط دلچسب و تمیز ، سرویس‌دهی خوب ، اتاق‌‌های نسبتا مجهز ، از امتیاز‌‌های اوین هست .,1,رستوران خوب، محیط دلچسب و تمیز، سرویس‌دهی خوب، اتاق‌های نسبتا مجهز، از امتیاز‌های اوین هست.
راضی بودم .,1,راضی بودم.
عالی .,1,عالی.
کم نظیر .,1,کم‌نظیر.
در حد بی‌نظیر .,1,در حد بی‌نظیر.
کادرجنتلمن واقعی .,1,کادرجنتلمن واقعی.
خدمات عالی .,1,خدمات عالی.
منوی صبحانه متنوع و کارشناسی‌شده .,1,منوی صبحانه متنوع و کارشناسی‌شده.
حدس من خرابی یکی از آسانسور‌ها بود .,0,حدس من خرابی یکی از آسانسور‌ها بود.
عالی .,1,عالی.
واقعا عالی .,1,واقعا عالی.
محیط هتل خوب بود .,1,محیط هتل خوب بود.
یکی از اشکالها‌ی بزرگ شلوغی بیش از حد لابی هتل بود .,0,یکی از اشکالها‌ی بزرگ شلوغی بیش از حد لابی هتل بود.
انسان احساس آرامش نداشت .,0,انسان احساس آرامش نداشت.
مسافر احساس راحتی و آرامش ندارد .,0,مسافر احساس راحتی و آرامش ندارد.
رسپشن خیلی با تندی جواب داد .,0,رسپشن خیلی با تندی جواب داد.
هتل خوب و تمیزی بود .,1,هتل خوب و تمیزی بود.
نمای زیبایی از هتل داشت .,1,نمای زیبایی از هتل داشت.
به نسبت تعداد میهمان هتل سالن صبحانه بسیار کوچک بود .,0,به نسبت تعداد میهمان هتل سالن صبحانه بسیار کوچک بود.
در طبقه ١۴ هتل با نمایی زیبا از شهر مشهد دارد .,1,در طبقه ۱۴ هتل با نمایی زیبا از شهر مشهد دارد.
هتل فوق‌العاده خوب .,1,هتل فوق‌العاده خوب.
امکانات خوب .,1,امکانات خوب.
همچنین کارمندان باشعور .,1,همچنین کارمندان باشعور.
عالی .,1,عالی.
عالی .,1,عالی.
عالی .,1,عالی.
بسیار هتل خوبی بود .,1,بسیار هتل خوبی بود.
