با توجه به قیمت و انتظاراتی که از یک هتل ۵ ستاره داریم اصلا و ابدا خوب نبود.
نظافت اتاقها در حد هتل سه ستاره‌های دبی بود .,0,نظافت اتاقها در حد هتل سه ستاره‌های دبی بود.
غذا خیلی گران بود .,0,غذا خیلی گران بود.
سرویس اتاق آنقدر با تاخیر می‌آمد که مجبور بودیم سفارش را لغو کنیم .,0,سرویس اتاق آنقدر با تاخیر می‌آمد که مجبور بودیم سفارش را لغو کنیم.
ظروف رستوران قدیمی کدر بود .,0,ظروف رستوران قدیمی کدر بود.
آکسسوار اتاقها قدیمی بود .,0,آکسسوار اتاقها قدیمی بود.
آکسسوار جدید از کیفیت پائینی برخوردار بود .,0,آکسسوار جدید از کیفیت پائینی برخوردار بود.
اگر انعام می‌دادیم رفتار پرسنل خوب بود .,0,اگر انعام می‌دادیم رفتار پرسنل خوب بود.
رفتارشان خیلی بدوی و روستایی مآبانه بود .,0,رفتارشان خیلی بدوی و روستایی مآبانه بود.
رستوران ایتالیایی دارای کارکنان نیمه حرفه‌ایی .,1,رستوران ایتالیایی دارای کارکنان نیمه حرفه‌ایی.
تا حدی قابل قبول بود .,1,تا حدی قابل‌قبول بود.
رفتار پرسنل حرفه‌ای بود .,1,رفتار پرسنل حرفه‌ای بود.
به طور کلی هتل رو دوست داشتم .,0,به طور کلی هتل رو دوست داشتم.
البته امسال به علت قیمت بالا هتل دیگری را انتخاب می‌کنم .,0,البته امسال به علت قیمت بالا هتل دیگری را انتخاب می‌کنم.
اتاق‌ها خوب گردگیری نشده بود .,0,اتاق‌ها خوب گردگیری نشده بود.
کف اتاق هم موکت‌ها خیلی تمیز نبود .,0,کف اتاق هم موکت‌ها خیلی تمیز نبود.
برنامه استخرها خوب نبود .,0,برنامه استخرها خوب نبود.
کیفیت اتاق معمولی هست .,1,کیفیت اتاق معمولی هست.
کارکنان خوش برخوردی دارد .,0,کارکنان خوش برخوردی دارد.
کیفیت غذا معمولی هست نه بیشتر .,0,کیفیت غذا معمولی هست نه بیشتر.
سرویس و آماده‌سازی غذا چه درون اتاق و چه در رستوران با کمی تاخیر انجام می‌شود .,0,سرویس و آماده‌سازی غذا چه درون اتاق و چه در رستوران با کمی تاخیر انجام می‌شود.
سرویس فرنگی هم خراب بود .,0,سرویس فرنگی هم خراب بود.
